dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,label,caption,segment,segment_label,group
iat,poisson,99999,"{'lambda': 34871.73871879254, 'mean_iat': 2.8676516765167643e-05, 'scale': 2.8676516765167643e-05}",0.5953830964700499,0.0,-1891865.4813982716,-1891855.9684828068,945933.7406991358,Inter-arrival time,"best=poisson (lambda=3.487e+04, mean_iat=2.868e-05, scale=2.868e-05); KS D=0.5954, p=0.00e+00; AIC=-1891865.5, BIC=-1891856.0",all,All traffic,all
frame_len,gamma,100000,"{'shape': 0.7084071609636651, 'loc': 0.0, 'scale': 1010.596489490766}",0.25517300523418396,0.0,1505712.97829041,1505732.00414134,-752854.489145205,Packet size,"best=gamma (shape=0.7084, loc=0, scale=1011); KS D=0.2552, p=0.00e+00; AIC=1505713.0, BIC=1505732.0",all,All traffic,all
flow_duration,gamma,4436,"{'shape': 0.41670492253284475, 'loc': 0.0, 'scale': 1.6628482264977906}",0.07892519016362498,1.7562056264448113e-24,2261.427723074028,2274.2227397709685,-1128.713861537014,Flow duration,"best=gamma (shape=0.4167, loc=0, scale=1.663); KS D=0.0789, p=1.76e-24; AIC=2261.4, BIC=2274.2",all,All traffic,all
flow_byte_sum,pareto,12382,"{'shape': 0.8286870178633445, 'loc': 0.0, 'scale': 60.0}",0.333393641457483,0.0,160697.23709697544,160712.0850951436,-80346.61854848772,Flow size,"best=pareto (shape=0.8287, loc=0, scale=60); KS D=0.3334, p=0.00e+00; AIC=160697.2, BIC=160712.1",all,All traffic,all
flow_throughput,lognormal,4436,"{'shape': 2.746490668452761, 'loc': 0.0, 'scale': 54523.77068543945}",0.08926217679843007,3.325866647210251e-31,118317.92720586181,118330.72222255875,-59156.963602930904,Flow throughput,"best=lognormal (shape=2.746, loc=0, scale=5.452e+04); KS D=0.0893, p=3.33e-31; AIC=118317.9, BIC=118330.7",all,All traffic,all
iat__all,poisson,99999,"{'lambda': 34871.73871879254, 'mean_iat': 2.8676516765167643e-05, 'scale': 2.8676516765167643e-05}",0.5953830964700499,0.0,-1891865.4813982716,-1891855.9684828068,945933.7406991358,Inter-arrival time,"best=poisson (lambda=3.487e+04, mean_iat=2.868e-05, scale=2.868e-05); KS D=0.5954, p=0.00e+00; AIC=-1891865.5, BIC=-1891856.0",transport_proto,Transport protocol,all
frame_len__all,gamma,100000,"{'shape': 0.7084071609636651, 'loc': 0.0, 'scale': 1010.596489490766}",0.25517300523418396,0.0,1505712.97829041,1505732.00414134,-752854.489145205,Packet size,"best=gamma (shape=0.7084, loc=0, scale=1011); KS D=0.2552, p=0.00e+00; AIC=1505713.0, BIC=1505732.0",transport_proto,Transport protocol,all
flow_duration__all,gamma,4436,"{'shape': 0.41670492253284475, 'loc': 0.0, 'scale': 1.6628482264977906}",0.07892519016362498,1.7562056264448113e-24,2261.427723074028,2274.2227397709685,-1128.713861537014,Flow duration,"best=gamma (shape=0.4167, loc=0, scale=1.663); KS D=0.0789, p=1.76e-24; AIC=2261.4, BIC=2274.2",transport_proto,Transport protocol,all
flow_byte_sum__all,pareto,12382,"{'shape': 0.8286870178633445, 'loc': 0.0, 'scale': 60.0}",0.333393641457483,0.0,160697.23709697544,160712.0850951436,-80346.61854848772,Flow size,"best=pareto (shape=0.8287, loc=0, scale=60); KS D=0.3334, p=0.00e+00; AIC=160697.2, BIC=160712.1",transport_proto,Transport protocol,all
flow_throughput__all,lognormal,4436,"{'shape': 2.746490668452761, 'loc': 0.0, 'scale': 54523.77068543945}",0.08926217679843007,3.325866647210251e-31,118317.92720586181,118330.72222255875,-59156.963602930904,Flow throughput,"best=lognormal (shape=2.746, loc=0, scale=5.452e+04); KS D=0.0893, p=3.33e-31; AIC=118317.9, BIC=118330.7",transport_proto,Transport protocol,all
iat__tcp,poisson,83445,"{'lambda': 35662.13095816574, 'mean_iat': 2.804094912816826e-05, 'scale': 2.804094912816826e-05}",0.5943431983118468,0.0,-1582423.0531865617,-1582413.7212435505,791212.5265932808,Inter-arrival time,"best=poisson (lambda=3.566e+04, mean_iat=2.804e-05, scale=2.804e-05); KS D=0.5943, p=0.00e+00; AIC=-1582423.1, BIC=-1582413.7",transport_proto,Transport protocol,tcp
iat__udp,poisson,9361,"{'lambda': 27889.170266646805, 'mean_iat': 3.5856211943168463e-05, 'scale': 3.5856211943168463e-05}",0.593053454521125,0.0,-172914.27461248185,-172907.13030508047,86458.13730624093,Inter-arrival time,"best=poisson (lambda=2.789e+04, mean_iat=3.586e-05, scale=3.586e-05); KS D=0.5931, p=0.00e+00; AIC=-172914.3, BIC=-172907.1",transport_proto,Transport protocol,udp
frame_len__tcp,gamma,83446,"{'shape': 0.714409713962809, 'loc': 0.0, 'scale': 1088.1940346663403}",0.29201097885043426,0.0,1270604.7694173672,1270623.4333273573,-635300.3847086836,Packet size,"best=gamma (shape=0.7144, loc=0, scale=1088); KS D=0.2920, p=0.00e+00; AIC=1270604.8, BIC=1270623.4",transport_proto,Transport protocol,tcp
frame_len__udp,lognormal,9361,"{'shape': 1.1457143661863738, 'loc': 0.0, 'scale': 274.33352332688736}",0.1587508599682823,1.5265479315265376e-206,134227.8495442599,134242.13815906263,-67111.92477212995,Packet size,"best=lognormal (shape=1.146, loc=0, scale=274.3); KS D=0.1588, p=1.53e-206; AIC=134227.8, BIC=134242.1",transport_proto,Transport protocol,udp
