dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,label,caption,segment,segment_label,group
iat,poisson,9999,"{'lambda': 34361.178981226614, 'mean_iat': 2.9102610261026097e-05, 'scale': 2.9102610261026097e-05}",0.5978181890342589,0.0,-188872.76439698346,-188865.55415661648,94437.38219849173,Inter-arrival time,"best=poisson (lambda=3.436e+04, mean_iat=2.91e-05, scale=2.91e-05); KS D=0.5978, p=0.00e+00; AIC=-188872.8, BIC=-188865.6",all,All traffic,all
frame_len,gamma,10000,"{'shape': 0.718483859501341, 'loc': 0.0, 'scale': 1027.7814737724414}",0.2513844678727532,0.0,151272.48744184696,151286.90812259092,-75634.24372092348,Packet size,"best=gamma (shape=0.7185, loc=0, scale=1028); KS D=0.2514, p=0.00e+00; AIC=151272.5, BIC=151286.9",all,All traffic,all
flow_duration,gamma,692,"{'shape': 0.4586953057787982, 'loc': 0.0, 'scale': 0.2058372502590913}",0.16861808799635924,1.1435032503190098e-17,-2273.6820199588346,-2264.6028480475993,1138.8410099794173,Flow duration,"best=gamma (shape=0.4587, loc=0, scale=0.2058); KS D=0.1686, p=1.14e-17; AIC=-2273.7, BIC=-2264.6",all,All traffic,all
flow_byte_sum,pareto,1834,"{'shape': 0.7232074044773247, 'loc': 0.0, 'scale': 60.0}",0.2638507082183811,3.586329513652801e-113,24950.55584200801,24961.584351313642,-12473.277921004004,Flow size,"best=pareto (shape=0.7232, loc=0, scale=60); KS D=0.2639, p=3.59e-113; AIC=24950.6, BIC=24961.6",all,All traffic,all
flow_throughput,lognormal,692,"{'shape': 2.9019302813743315, 'loc': 0.0, 'scale': 401088.8440885725}",0.11112963667319115,6.723803739177866e-08,21298.574015150793,21307.653187062027,-10647.287007575396,Flow throughput,"best=lognormal (shape=2.902, loc=0, scale=4.011e+05); KS D=0.1111, p=6.72e-08; AIC=21298.6, BIC=21307.7",all,All traffic,all
iat__all,poisson,9999,"{'lambda': 34361.178981226614, 'mean_iat': 2.9102610261026097e-05, 'scale': 2.9102610261026097e-05}",0.5978181890342589,0.0,-188872.76439698346,-188865.55415661648,94437.38219849173,Inter-arrival time,"best=poisson (lambda=3.436e+04, mean_iat=2.91e-05, scale=2.91e-05); KS D=0.5978, p=0.00e+00; AIC=-188872.8, BIC=-188865.6",transport_proto,Transport protocol,all
frame_len__all,gamma,10000,"{'shape': 0.718483859501341, 'loc': 0.0, 'scale': 1027.7814737724414}",0.2513844678727532,0.0,151272.48744184696,151286.90812259092,-75634.24372092348,Packet size,"best=gamma (shape=0.7185, loc=0, scale=1028); KS D=0.2514, p=0.00e+00; AIC=151272.5, BIC=151286.9",transport_proto,Transport protocol,all
flow_duration__all,gamma,692,"{'shape': 0.4586953057787982, 'loc': 0.0, 'scale': 0.2058372502590913}",0.16861808799635924,1.1435032503190098e-17,-2273.6820199588346,-2264.6028480475993,1138.8410099794173,Flow duration,"best=gamma (shape=0.4587, loc=0, scale=0.2058); KS D=0.1686, p=1.14e-17; AIC=-2273.7, BIC=-2264.6",transport_proto,Transport protocol,all
flow_byte_sum__all,pareto,1834,"{'shape': 0.7232074044773247, 'loc': 0.0, 'scale': 60.0}",0.2638507082183811,3.586329513652801e-113,24950.55584200801,24961.584351313642,-12473.277921004004,Flow size,"best=pareto (shape=0.7232, loc=0, scale=60); KS D=0.2639, p=3.59e-113; AIC=24950.6, BIC=24961.6",transport_proto,Transport protocol,all
flow_throughput__all,lognormal,692,"{'shape': 2.9019302813743315, 'loc': 0.0, 'scale': 401088.8440885725}",0.11112963667319115,6.723803739177866e-08,21298.574015150793,21307.653187062027,-10647.287007575396,Flow throughput,"best=lognormal (shape=2.902, loc=0, scale=4.011e+05); KS D=0.1111, p=6.72e-08; AIC=21298.6, BIC=21307.7",transport_proto,Transport protocol,all
